자치구,총범죄,유흥주점수,cctv수,어린이보호구역수,가로등수,아동인구,아동유효,아동분모,아동위험률_10만명,유흥주점_밀도,CCTV_아동비,가로등_아동비,보호구역_아동10만명,z_bar,z_cctv,z_lgt,z_prt,안전지수_raw,안전등급
강남구,23510,658,7277,107,0,120000,TRUE,1.2,19591.666666666668,548.3333333333334,6064.166666666667,0,89.16666666666667,-1.1908433363686872,1.1908433363686874,0,1.1908433363686874,-0.9526746690949499,3
강동구,11786,658,7277,107,0,90000,TRUE,0.9,13095.555555555555,731.1111111111111,8085.555555555556,0,118.88888888888889,-0.6180280701556139,0.6180280701556139,0,0.618028070155614,-0.49442245612449115,3
강북구,9278,658,7277,107,0,85000,TRUE,0.85,10915.29411764706,774.1176470588235,8561.176470588236,0,125.88235294117648,-0.4832480075172435,0.48324800751724345,0,0.48324800751724356,-0.3865984060137948,2
강서구,15680,658,7277,107,0,95000,TRUE,0.95,16505.263157894737,692.6315789473684,7660,0,112.63157894736842,-0.7386207577794187,0.7386207577794188,0,0.7386207577794188,-0.590896606223535,3
관악구,16530,658,7277,107,0,88000,TRUE,0.88,18784.090909090908,747.7272727272727,8269.318181818182,0,121.5909090909091,-0.5659539550453343,0.5659539550453344,0,0.5659539550453345,-0.4527631640362675,3
광진구,11514,658,7277,107,0,78000,TRUE,0.78,14761.538461538461,843.5897435897435,9329.48717948718,0,137.17948717948718,-0.26552636787064565,0.26552636787064554,0,0.2655263678706456,-0.2124210942965165,2
구로구,12738,658,7277,107,0,82000,TRUE,0.82,15534.146341463416,802.439024390244,8874.390243902439,0,130.4878048780488,-0.39449040529197515,0.39449040529197554,0,0.3944904052919753,-0.3155923242335802,2
금천구,7986,658,7277,107,0,45000,TRUE,0.45,17746.666666666668,1462.2222222222222,16171.111111111111,0,237.77777777777777,1.67323299469668,-1.6732329946966802,0,-1.6732329946966802,1.338586395757344,1
노원구,12348,658,7277,107,0,100000,TRUE,1,12348,658,7277,0,107,-0.8471541766408431,0.8471541766408434,0,0.8471541766408434,-0.6777233413126745,3
도봉구,6654,658,7277,107,0,60000,TRUE,0.6,11090,1096.6666666666667,12128.333333333334,0,178.33333333333334,0.5276024622705334,-0.5276024622705333,0,-0.5276024622705333,0.4220819698164267,1
동대문구,10516,658,7277,107,0,70000,TRUE,0.7,15022.857142857143,940.0000000000001,10395.714285714286,0,152.85714285714286,0.03661794837361343,-0.03661794837361312,0,-0.03661794837361303,0.02929435869889064,1
동작구,8810,658,7277,107,0,75000,TRUE,0.75,11746.666666666666,877.3333333333334,9702.666666666666,0,142.66666666666666,-0.15977585718515486,0.15977585718515527,0,0.1597758571851553,-0.12782068574812402,2
마포구,13444,658,7277,107,0,80000,TRUE,0.8,16805,822.5,9096.25,0,133.75,-0.331620437049077,0.3316204370490772,0,0.3316204370490772,-0.26529634963926163,2
서대문구,8052,658,7277,107,0,68000,TRUE,0.68,11841.176470588234,967.6470588235294,10701.470588235294,0,157.35294117647058,0.12326227435542245,-0.1232622743554223,0,-0.12326227435542222,0.0986098194843379,1
서초구,15142,658,7277,107,0,110000,TRUE,1.1,13765.454545454544,598.1818181818181,6615.454545454545,0,97.27272727272727,-1.0346209910378492,1.0346209910378492,0,1.0346209910378494,-0.8276967928302794,3
성동구,6868,658,7277,107,0,65000,TRUE,0.65,10566.153846153846,1012.3076923076923,11195.384615384615,0,164.6153846153846,0.2632261855568068,-0.2632261855568069,0,-0.2632261855568068,0.21058094844544548,1
성북구,8738,658,7277,107,0,70000,TRUE,0.7,12482.857142857143,940.0000000000001,10395.714285714286,0,152.85714285714286,0.03661794837361343,-0.03661794837361312,0,-0.03661794837361303,0.02929435869889064,2
송파구,17486,658,7277,107,0,115000,TRUE,1.15,15205.21739130435,572.1739130434783,6327.826086956522,0,93.04347826086958,-1.116128301645243,1.116128301645243,0,1.116128301645243,-0.8929026413161945,3
양천구,10308,658,7277,107,0,85000,TRUE,0.85,12127.058823529413,774.1176470588235,8561.176470588236,0,125.88235294117648,-0.4832480075172435,0.48324800751724345,0,0.48324800751724356,-0.3865984060137948,3
영등포구,15610,658,7277,107,0,78000,TRUE,0.78,20012.82051282051,843.5897435897435,9329.48717948718,0,137.17948717948718,-0.26552636787064565,0.26552636787064554,0,0.2655263678706456,-0.2124210942965165,2
용산구,10578,658,7277,107,0,60000,TRUE,0.6,17630,1096.6666666666667,12128.333333333334,0,178.33333333333334,0.5276024622705334,-0.5276024622705333,0,-0.5276024622705333,0.4220819698164267,1
은평구,12342,658,7277,107,0,72000,TRUE,0.72,17141.666666666668,913.8888888888889,10106.944444444445,0,148.61111111111111,-0.04521280394254021,0.04521280394254016,0,0.04521280394254036,-0.036170243154032174,2
자치구별(2),3,658,7277,107,0,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
종로구,12932,658,7277,107,0,40000,TRUE,0.4,32330,1645,18192.5,0,267.5,2.246048260909754,-2.246048260909754,0,-2.246048260909754,1.7968386087278032,1
중구,11626,658,7277,107,0,35000,TRUE,0.35,33217.14285714286,1880.0000000000002,20791.428571428572,0,305.7142857142857,2.982525031755135,-2.9825250317551344,0,-2.9825250317551344,2.3860200254041075,1
중랑구,11596,658,7277,107,0,68000,TRUE,0.68,17052.941176470587,967.6470588235294,10701.470588235294,0,157.35294117647058,0.12326227435542245,-0.1232622743554223,0,-0.12326227435542222,0.0986098194843379,1
