죄종별(1),죄종별(2),죄종별(3),2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024
죄종별(1),죄종별(2),죄종별(3),발생건수 (건),검거건수 (건),발생대비 검거건수 (%),검거인원 (명),검거인원 (명),검거인원 (명),검거인원 (명),발생건수 (건),검거건수 (건),발생대비 검거건수 (%),검거인원 (명),검거인원 (명),검거인원 (명),검거인원 (명)
죄종별(1),죄종별(2),죄종별(3),소계,소계,소계,소계,남자,여자,미상,소계,소계,소계,소계,남자,여자,미상
강력범죄,소계,소계,"6,264","5,850",93.4,"6,089","5,817",242,30,"5,938","5,579",94,"5,837","5,528",268,41
,강간,소계,"1,161","1,129",97.2,"1,172","1,162",4,6,"1,138","1,093",96,"1,170","1,150",15,5
,,강간,496,475,95.8,471,468,1,2,465,445,95.7,451,446,3,2
,,강간(상습),-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,준강간,325,330,101.5,332,329,1,2,318,318,100,329,324,3,2
,,준강간(상습),1,-,-,2,-,2,-,-,-,-,-,-,-,-
,,강간상해/치상,52,50,96.2,49,49,-,-,44,46,104.5,47,46,1,-
,,강간살인/치사,1,-,-,-,-,-,-,1,1,100,1,1,-,-
,,미성년자간음(심신미약자),2,1,50,2,2,-,-,3,1,33.3,1,1,-,-
,,업무상위력에의한간음,13,11,84.6,10,10,-,-,9,9,100,9,9,-,-
,,친족관계에의한강간,13,11,84.6,11,11,-,-,10,10,100,11,11,-,-
,,장애인에대한강간/간음,45,45,100,49,47,-,2,49,43,87.8,43,42,1,-
,,청소년에대한강간/간음,64,63,98.4,64,64,-,-,69,63,91.3,68,65,3,-
,,미성년자의제강간,95,92,96.8,109,109,-,-,113,105,92.9,115,113,2,-
,,13세미만미성년자강간/간음,6,6,100,6,6,-,-,5,5,100,5,5,-,-
,,특수강간(준),35,30,85.7,53,53,-,-,36,34,94.4,73,71,2,-
,,주거침입강간,10,11,110,10,10,-,-,7,8,114.3,8,8,-,-
,,절도강간,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,특수강도강간,-,-,-,-,-,-,-,1,1,100,1,1,-,-
,,아동학대처벌법위반(상습강간/간음),-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,16세미만아동/청소년간음,3,4,133.3,4,4,-,-,8,4,50,8,7,-,1
,유사강간,소계,226,217,96,224,221,3,-,236,222,94.1,233,228,5,-
,,유사강간,125,118,94.4,122,120,2,-,134,127,94.8,134,130,4,-
,,유사강간(상습),1,1,100,1,1,-,-,-,-,-,-,-,-,-
,,준유사강간,53,52,98.1,54,54,-,-,61,56,91.8,57,57,-,-
,,준유사강간(상습),-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,유사강간상해/치상,8,8,100,8,7,1,-,11,12,109.1,10,10,-,-
,,유사강간살인/치사,1,1,100,1,1,-,-,-,-,-,-,-,-,-
,,미성년자의제유사강간,10,11,110,12,12,-,-,8,5,62.5,10,9,1,-
,,유사성행위,27,25,92.6,25,25,-,-,22,22,100,22,22,-,-
,,주거침입유사강간,1,1,100,1,1,-,-,-,-,-,-,-,-,-
,,절도유사강간,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,특수강도유사강간,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,아동학대처벌법위반(상습유사강간),-,-,-,-,-,-,-,-,-,-,-,-,-,-
,강제추행,소계,"4,357","4,027",92.4,"4,103","3,939",155,9,"4,122","3,841",93.2,"3,907","3,722",170,15
,,강제추행,"2,960","2,774",93.7,"2,837","2,701",130,6,"2,912","2,761",94.8,"2,805","2,646",149,10
,,강제추행(상습),6,6,100,5,5,-,-,5,5,100,5,5,-,-
,,준강제추행,209,210,100.5,214,210,4,-,201,192,95.5,199,195,2,2
,,준강제추행(상습),-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,강제추행상해/치상,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,강제추행살인/치사,33,33,100,33,32,1,-,21,23,109.5,21,21,-,-
,,업무상위력등에의한추행,79,76,96.2,78,75,3,-,58,56,96.6,57,54,3,-
,,친족관계에의한강제추행,21,22,104.8,20,19,1,-,26,29,111.5,28,27,1,-
,,장애인에대한강제추행/추행,63,65,103.2,64,63,1,-,62,63,101.6,64,61,3,-
,,청소년에대한강제추행/추행,131,122,93.1,131,129,2,-,138,135,97.8,141,137,4,-
,,미성년자추행(심신미약자),1,1,100,1,1,-,-,-,-,-,-,-,-,-
,,미성년자의제강제추행,7,8,114.3,7,7,-,-,12,11,91.7,11,11,-,-
,,13세미만미성년자강제추행/추행,121,109,90.1,109,101,8,-,91,91,100,87,83,4,-
,,공중밀집장소에서의추행,713,586,82.2,583,575,5,3,572,453,79.2,452,447,2,3
,,특수강제추행(준),8,10,125,16,16,-,-,16,15,93.8,30,28,2,-
,,주거침입강제추행,2,2,100,2,2,-,-,6,5,83.3,5,5,-,-
,,절도강제추행,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,특수강도강제추행,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,아동학대처벌법위반(상습강제추행/추행),-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,16세미만아동/청소년추행,3,3,100,3,3,-,-,2,2,100,2,2,-,-
,기타 강간/강제추행등,소계,20,22,110,33,33,-,-,27,27,100,38,37,-,1
,,강간등상해/치상,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,강간등살인/치사,7,7,100,8,8,-,-,7,6,85.7,7,7,-,-
,,친족관계에의한강간등,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,장애인에대한강간등,-,-,-,-,-,-,-,1,1,100,1,1,-,-
,,청소년에대한강간등,10,12,120,19,19,-,-,11,12,109.1,17,17,-,-
,,13세미만미성년자강간등,1,-,-,3,3,-,-,3,3,100,6,5,-,1
,,주거침입강간등,1,1,100,1,1,-,-,3,3,100,4,4,-,-
,,절도강간등,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,특수강도강간등,1,2,200,2,2,-,-,1,1,100,1,1,-,-
,,성폭력범죄의처벌및피해자보호등에관한법률위반,-,-,-,-,-,-,-,1,1,100,2,2,-,-
폭력범죄,소계,소계,"43,132","37,567",87.1,"48,985","39,231","9,326",428,"39,554","35,074",88.7,"43,915","34,967","8,417",531
,약취/유인,소계,66,69,104.5,95,68,27,-,66,56,84.8,83,52,17,14
,,약취/유인(미성년자),46,52,113,65,44,21,-,46,42,91.3,52,37,15,-
,,약취/유인(추행/간음/결혼/영리),18,16,88.9,23,20,3,-,13,12,92.3,14,14,-,-
,,약취/유인(노동력착취/성매매/성적착취/장기적출),-,-,-,-,-,-,-,-,-,-,1,-,1,-
,,인신매매,-,-,-,-,-,-,-,3,1,33.3,14,-,-,14
,,인신매매(추행/간음/결혼/영리),-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,인신매매등(노동력착취/성매매/성적착취/장기적출),1,-,-,1,1,-,-,1,-,-,-,-,-,-
,,국외이송약취/유인/인신매매,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,피약취자/피유인자/피매매자(상해/치상),-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,피약취자/피유인자/피매매자(살해/치사),-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,피약취자/피유인자/피매매자(수수/은닉),-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,특가법(약취/유인등),-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,특가법(13세미만약취/유인등),1,1,100,1,1,-,-,-,-,-,-,-,-,-
,,아동복지법위반(아동매매),-,-,-,5,2,3,-,3,1,33.3,2,1,1,-
,,아동학대처벌법위반(상습국외이송),-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,아동학대처벌법위반(상습약취/유인/인신매매),-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,아동학대처벌법위반(상습피약취자/피매매자/피유인자),-,-,-,-,-,-,-,-,-,-,-,-,-,-
기타범죄,소계,소계,"49,532","39,622",80,"51,422","35,194","13,368","2,860","54,557","44,046",80.7,"54,218","37,595","14,521","2,102"
,성매매방지및피해자보호등에관한법률위반,소계,-,-,-,1,-,1,-,1,1,100,3,-,-,3
,성매매알선등행위의처벌에관한법률위반(성매매),소계,288,277,96.2,695,405,287,3,229,225,98.3,789,514,268,7
,성매매알선등행위의처벌에관한법률위반(성매매강요등),소계,-,-,-,1,1,-,-,1,1,100,1,1,-,-
,성매매알선등행위의처벌에관한법률위반(성매매광고),소계,94,94,100,100,30,70,-,199,186,93.5,191,14,177,-
,성매매알선등행위의처벌에관한법률위반(성매매알선등),소계,162,146,90.1,607,364,240,3,145,138,95.2,443,274,167,2
,성매매알선등행위의처벌에관한법률위반(아동/청소년),소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,성매매알선등행위의처벌에관한법률위반(기타),소계,183,174,95.1,410,227,180,3,180,174,96.7,431,253,171,7
,성폭력범죄의처벌등에관한특례법위반(기타),소계,"1,352","1,273",94.2,"1,267","1,235",30,2,"2,027","1,964",96.9,"1,951","1,899",52,-
,아동/청소년의성보호에관한법률위반(강요행위등),소계,3,3,100,6,6,-,-,2,3,150,7,6,1,-
,아동/청소년의성보호에관한법률위반(매매),소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,아동/청소년의성보호에관한법률위반(성매수등),소계,45,44,97.8,66,64,1,1,79,73,92.4,112,108,1,3
,아동/청소년의성보호에관한법률위반(알선영업행위등),소계,10,7,70,21,17,4,-,5,3,60,9,7,2,-
,아동/청소년의성보호에관한법률위반(기타),소계,99,87,87.9,117,114,3,-,136,109,80.1,109,104,4,1
